"Coll_date","Species","count","w_var","w_mean","w_median","w_max","w_min","w_sd","w_cv","b_var","b_mean","b_median","b_max","b_min","b_sd","b_cv"
20150722,"Abraxas persimplex",19,1.59992573099415,19.7957894736842,19.66,22.67,17.88,1.26488170632441,6.38965022337653,0.82113567251462,13.2036842105263,12.97,14.77,11.35,0.906165367090698,6.86297364161648
20150724,"Abraxas persimplex",21,1.55909904761905,19.4990476190476,19.66,22.22,17.27,1.24863887798636,6.40358904896788,0.730254761904762,13.0261904761905,13.01,14.44,11.5,0.854549449654472,6.56024070288573
20150720,"Abraxas tenellula",23,1.94391739130435,19.7391304347826,20.01,21.97,15.28,1.3942443800512,7.06335258616245,0.570268398268398,13.4727272727273,13.445,14.89,12.38,0.755161173702938,5.60510992627012
20150723,"Abraxas tenuisuffusa",14,1.3473478021978,18.3235714285714,17.9,20.94,16.58,1.16075311853891,6.33475369724583,0.329381818181818,12.13,11.92,13.14,11.36,0.573917954225008,4.73139286253098
20150722,"Acosmetia chinensis",14,0.548852747252747,14.4028571428571,14.555,15.27,12.91,0.740845967291952,5.14374307780565,1.27207252747253,12.5042857142857,12.23,14.87,10.57,1.12786192748604,9.0198029160314
20150723,"Alcis taiwanensis",14,1.34085274725275,20.6771428571429,20.54,22.7,18.41,1.15795196241154,5.6001545784723,2.70997582417582,15.1271428571429,15.7,17.16,11.58,1.6462004204154,10.8824279373952
20150724,"Alcis taiwanensis",10,0.808543333333333,20.139,20.215,21.52,18.63,0.899190376579583,4.46492068414312,1.27689,14.387,14.15,16.04,12.97,1.12999557521258,7.85428216593157
20150720,"Alcis taiwanovariegata",19,1.58842651515151,17.8708333333333,17.83,20.33,16.08,1.26032793952666,7.05242959865699,1.07671764705882,14.6033333333333,14.76,16.75,12.65,1.03765006001967,7.10556991567909
20150721,"Alcis taiwanovariegata",25,2.13813602941176,17.4188235294118,16.94,20.29,14.9,1.46223665301201,8.39457757031074,9.72672302373333,13.329704,13.63,16.1,0.0726,3.11876947268203,23.3971397465542
20150722,"Alcis taiwanovariegata",52,1.13017435897436,17.1546153846154,17.185,19.8,14.66,1.063096589673,6.19714616642706,1.49949004524887,14.2303846153846,14.18,17.3,11.38,1.22453666553879,8.60508481418651
